fbgn,BamHSbam_input_1,BamHSbam_input_2,BamHSbam_input_3,BamHSbam_input_4,BamHSbam_polysome_1,BamHSbam_polysome_2,BamHSbam_polysome_3,BamHSbam_polysome_4,BamRNAi_input_1,BamRNAi_input_2,BamRNAi_input_3,BamRNAi_polysome_1,BamRNAi_polysome_2,BamRNAi_polysome_3,TKV_input_1,TKV_input_2,TKV_polysome_1,TKV_polysome_2,youngWT_input_1,youngWT_input_2,youngWT_polysome_1,youngWT_polysome_2
FBgn0035268,357,502,545,1228,1265,307,1583,1540,1289,881,2431,348,1995,1732,780,410,1583,405,720,1100,298,708
FBgn0013811,116,71,78,79,199,1,0,288,95,63,117,0,79,31,46,32,26,18,13,15,0,3
FBgn0035270,516,652,807,1198,2226,79,2246,1438,707,501,1054,122,723,1129,496,259,703,97,801,1381,448,729
FBgn0265451,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0027903,72,226,115,513,331,1,667,616,599,607,1156,619,794,1090,575,321,1106,460,632,1143,500,1295
FBgn0035271,345,163,190,338,204,5,1107,422,375,451,818,403,589,781,277,197,645,180,569,764,538,996
FBgn0035272,357,431,258,694,1035,18,1385,772,772,946,1536,364,1158,1428,605,429,1112,588,633,1469,817,1512
FBgn0250789,3521,5060,5792,3398,6775,1812,5997,3917,8246,3687,11295,789,5262,4570,2405,1912,1320,780,2898,4287,678,1788
FBgn0267484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0024510,439,215,246,808,388,1,239,765,374,224,520,190,422,645,279,132,494,166,554,834,175,759
FBgn0011573,2233,1573,2219,3749,4788,589,3629,2299,1658,1272,3197,662,1588,2932,885,651,943,455,1438,3817,853,2323
FBgn0267468,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,12,11,0,0,0,1
FBgn0035273,0,0,0,7,0,0,0,7,1,0,1,0,2,6,0,1,11,0,0,0,0,0
FBgn0067864,518,430,490,1123,1533,117,978,1060,1427,918,1929,224,1472,1460,841,556,1030,375,971,1575,561,1017
FBgn0025820,180,191,75,291,125,0,272,365,289,473,551,405,715,449,233,132,356,244,140,448,389,375
FBgn0261562,353,215,365,581,1270,164,191,595,381,349,680,141,563,660,332,204,585,179,402,626,326,536
FBgn0267246,0,0,0,0,0,0,0,2,8,3,4,1,0,0,3,5,0,0,0,0,0,0
FBgn0267247,0,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,0,0,3,1,0,0
FBgn0027790,0,0,43,9,0,0,13,6,64,77,53,33,96,75,6,23,11,35,54,55,96,117
FBgn0035279,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,5,0,15
FBgn0035280,0,0,0,0,0,0,0,0,0,0,0,0,10,14,3,6,0,3,4,5,0,38
FBgn0035281,0,0,0,0,0,0,0,2,0,3,0,0,4,25,8,0,19,5,20,26,12,100
FBgn0035282,22,0,27,21,2,90,131,18,29,9,37,2,12,21,33,16,0,16,6,6,0,0
FBgn0035283,394,402,553,1129,1236,2,1669,816,456,506,640,74,576,727,350,204,201,87,616,1172,332,438
FBgn0004636,3763,4661,6456,5223,4995,2012,9152,3048,3422,2347,7963,299,1913,4982,1358,728,434,180,3522,5892,1556,1611
FBgn0042712,220,354,218,782,1881,5,1127,1047,923,682,1348,849,1295,1240,828,438,1720,593,813,1446,545,1899
FBgn0035285,1351,1603,1760,2068,3038,413,2097,2287,1302,1158,1645,185,1757,1538,724,479,725,244,963,1884,554,1082
FBgn0035286,0,0,0,7,0,0,0,3,9,4,8,5,11,6,6,3,26,0,2,3,0,0
FBgn0002183,3341,3069,3839,6505,6253,555,7928,6320,6386,2832,10727,1432,6195,6267,3674,2079,4649,1448,5250,6032,2403,2941
FBgn0035287,196,73,144,113,498,130,36,119,296,519,316,70,564,96,149,137,164,84,37,35,13,29
FBgn0000109,196,13,56,259,288,191,955,313,153,212,263,87,440,323,156,56,242,107,158,449,165,385
FBgn0262624,527,236,516,354,690,128,985,326,714,528,1710,54,643,1202,640,263,583,149,733,1317,322,751
FBgn0035290,0,15,91,64,91,1,0,70,9,17,92,0,25,172,82,13,105,20,117,274,0,60
FBgn0261723,0,0,0,1,0,0,0,3,3,4,4,0,1,1,6,1,0,0,1,0,0,0
FBgn0052312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0267476,0,0,0,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035293,61,4,11,49,131,9,141,34,1935,675,1353,416,924,487,222,175,191,86,15,29,17,50
FBgn0265729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035294,439,324,432,734,769,216,658,649,515,442,971,94,555,820,390,229,365,196,392,753,256,623
FBgn0002872,1020,404,920,2756,823,133,2644,1956,672,275,1318,62,505,1328,554,239,299,98,1206,1863,360,705
FBgn0035295,233,379,311,778,678,93,871,774,550,336,1066,64,672,853,386,209,452,137,625,917,312,489
FBgn0265988,516,524,436,689,764,41,837,1378,701,271,1198,30,418,573,250,128,304,22,778,732,78,160
FBgn0267477,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0
FBgn0035298,510,394,433,551,925,7,1045,546,713,727,1123,357,889,1045,685,374,977,286,872,1459,612,1656
FBgn0267478,0,0,0,1,0,0,0,2,5,1,2,0,0,11,0,5,0,0,0,0,0,0
FBgn0027547,1283,1375,1666,2276,3667,197,3426,2482,1388,1493,2386,310,2266,1843,828,580,901,395,881,1705,482,1283
FBgn0035299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBgn0035300,0,29,0,0,0,0,0,0,10,2,1,11,45,1,0,1,12,0,3,9,0,82
FBgn0262030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0265728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0259703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0259702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0085288,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0
FBgn0259701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0086906,1863,4859,8338,1067,1154,1031,3108,1265,4194,1049,3526,158,1077,694,402,643,139,76,389,780,0,70
FBgn0262107,37,35,41,22,27,1,0,17,83,108,94,13,70,25,21,27,22,0,0,6,0,0
FBgn0052311,2447,5583,9257,2205,6839,1282,3043,3404,3272,1618,2676,600,2886,1047,761,936,712,337,765,528,193,211
FBgn0267452,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0035308,150,464,523,351,455,115,375,434,258,54,871,7,27,648,272,98,320,16,539,622,204,267
FBgn0035309,0,0,18,37,138,0,365,33,62,71,75,2,52,37,22,23,46,7,12,21,0,4
FBgn0026570,148,7,43,269,150,2,412,229,161,188,224,23,240,240,101,67,124,37,103,252,125,122
FBgn0035311,0,0,0,35,0,0,2,21,0,0,0,0,0,131,15,4,0,8,72,234,158,63
FBgn0035312,0,0,1,275,0,2,288,256,0,0,0,0,0,428,50,11,25,5,344,719,526,563
FBgn0035313,4,0,11,10,36,0,0,11,4,10,4,15,0,0,5,7,19,0,0,1,0,0
FBgn0026593,95,0,30,151,264,0,340,247,62,79,99,0,99,191,49,33,116,71,103,310,50,347
FBgn0035315,0,0,0,2,0,0,0,0,0,1,9,0,0,2,0,0,0,0,1,1,0,0
FBgn0035316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0035317,85,152,47,36,160,0,0,100,153,31,144,1,168,106,61,17,225,18,7,9,27,0
FBgn0035318,330,360,203,582,932,97,1633,652,524,470,1060,202,894,1086,343,248,853,354,399,853,447,1121
FBgn0040507,155,70,85,84,636,0,46,208,447,313,612,60,526,272,182,150,186,73,49,45,0,69
FBgn0052301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
